date,usd_zar
2019-01-23,13.8717
2019-01-24,13.7871
2019-01-25,13.6524
2019-01-28,13.6506
2019-01-29,13.6193
2019-01-30,13.6043
2019-01-31,13.2678
2019-02-04,13.405
2019-02-05,13.3742
2019-02-06,13.4608
2019-02-07,13.6336
2019-02-11,13.7363
2019-02-12,13.7678
2019-02-13,13.8758
2019-02-14,14.17
2019-02-15,14.1218
2019-02-18,14.1016
2019-02-19,14.1668
2019-02-20,14.1381
2019-02-21,13.9633
2019-02-22,14.005
2019-02-25,13.8779
2019-02-26,13.865
2019-02-27,13.8625
2019-02-28,13.9698
2019-03-01,14.1813
2019-03-04,14.2421
2019-03-05,14.1683
2019-03-06,14.2046
2019-03-07,14.3301
2019-03-08,14.527
2019-03-12,14.2959
2019-03-13,14.3313
2019-03-14,14.5038
2019-03-15,14.4837
2019-03-18,14.3778
2019-03-19,14.415
2019-03-20,14.4251
2019-03-21,14.1948
2019-03-22,14.3752
2019-03-25,14.3927
2019-03-26,14.367
2019-03-27,14.586
2019-03-28,14.7033
2019-03-29,14.4764
2019-04-01,14.1665
2019-04-03,14.1528
2019-04-04,14.1508
2019-04-05,14.0726
2019-04-08,14.0994
2019-04-09,14.0299
2019-04-10,13.9543
2019-04-12,13.9238
2019-04-15,13.9832
2019-04-16,14.0466
2019-04-18,14.0873
2019-04-23,14.2006
2019-04-24,14.357
2019-04-25,14.531
2019-04-26,14.4149
2019-04-29,14.345
2019-05-02,14.4647
2019-05-03,14.5291
2019-05-06,14.5146
2019-05-07,14.4139
2019-05-08,14.3448
2019-05-09,14.3332
2019-05-10,14.2264
2019-05-13,14.3057
2019-05-14,14.23
2019-05-15,14.2735
2019-05-16,14.1529
2019-05-17,14.3812
2019-05-20,14.363
2019-05-21,14.4171
2019-05-22,14.3679
2019-05-23,14.4479
2019-05-24,14.4412
2019-05-27,14.4569
2019-05-28,14.6081
2019-05-29,14.815
2019-05-30,14.6418
2019-05-31,14.6923
2019-06-03,14.565
2019-06-04,14.6559
2019-06-05,14.7366
2019-06-06,14.8698
2019-06-07,15.052
2019-06-10,14.8653
2019-06-11,14.765
2019-06-12,14.7601
2019-06-13,14.8708
2019-06-14,14.7829
2019-06-17,14.8178
2019-06-18,14.6404
2019-06-19,14.5171
2019-06-21,14.3317
2019-06-25,14.3029
2019-06-26,14.3286
2019-06-27,14.1507
2019-07-01,14.1172
2019-07-02,14.1221
2019-07-03,14.1138
2019-07-04,13.9856
2019-07-05,14.1088
2019-07-08,14.1608
2019-07-09,14.1644
2019-07-10,14.16
2019-07-11,13.868
2019-07-12,13.9582
2019-07-15,13.8624
2019-07-16,13.8741
2019-07-17,13.9644
2019-07-18,13.9918
2019-07-19,13.9292
2019-07-22,13.8923
2019-07-24,13.9142
2019-07-25,13.9162
2019-07-26,14.1548
2019-07-29,14.2241
2019-07-30,14.1475
2019-07-31,14.226
2019-08-01,14.493
2019-08-02,14.7012
2019-08-05,14.9163
2019-08-06,14.806
2019-08-07,14.9568
2019-08-08,15.1448
2019-08-09,15.1866
2019-08-12,15.38
2019-08-13,15.3528
2019-08-14,15.3084
2019-08-15,15.2861
2019-08-16,15.1752
2019-08-19,15.3584
2019-08-20,15.3591
2019-08-21,15.1813
2019-08-22,15.1743
2019-08-23,15.2227
2019-08-26,15.2614
2019-08-27,15.2958
2019-08-28,15.3676
2019-08-29,15.2592
2019-08-30,15.25
2019-09-02,15.2103
2019-09-03,15.1344
2019-09-04,14.8601
2019-09-05,14.8096
2019-09-06,14.7645
2019-09-09,14.677
2019-09-10,14.6733
2019-09-11,14.6673
2019-09-12,14.5887
2019-09-13,14.5082
2019-09-17,14.7633
2019-09-18,14.6183
2019-09-19,14.6698
2019-09-20,14.8677
2019-09-23,14.8807
2019-09-24,14.8686
2019-09-25,15.0323
2019-09-26,14.9683
2019-09-27,15.0737
2019-09-30,15.2058
2019-10-01,15.2964
2019-10-02,15.2519
2019-10-03,15.1655
2019-10-04,15.1604
2019-10-07,15.1307
2019-10-08,15.2678
2019-10-09,15.1396
2019-10-10,15.1313
2019-10-11,14.849
2019-10-14,14.8022
2019-10-15,14.8624
2019-10-16,14.9777
2019-10-17,14.8731
2019-10-18,14.7672
2019-10-21,14.7526
2019-10-22,14.6754
2019-10-23,14.6738
2019-10-24,14.6255
2019-10-25,14.6202
2019-10-28,14.5397
2019-10-29,14.6229
2019-10-30,14.9117
2019-10-31,15.1623
2019-11-01,15.1073
2019-11-04,14.8141
2019-11-05,14.7516
2019-11-06,14.8019
2019-11-07,14.7362
2019-11-08,14.7835
2019-11-11,14.8673
2019-11-12,14.8283
2019-11-13,14.941
2019-11-14,14.8409
2019-11-15,14.7267
2019-11-18,14.7783
2019-11-19,14.7342
2019-11-20,14.7998
2019-11-21,14.6646
2019-11-22,14.715
2019-11-25,14.7404
2019-11-26,14.8261
2019-11-27,14.7048
2019-11-28,14.7477
2019-11-29,14.6783
2019-12-02,14.6757
2019-12-03,14.6557
2019-12-04,14.5496
2019-12-05,14.6723
2019-12-06,14.6234
2019-12-09,14.6077
2019-12-10,14.8164
2019-12-11,14.7641
2019-12-12,14.6582
2019-12-13,14.4436
2019-12-16,14.472
2019-12-17,14.4173
2019-12-18,14.368
2019-12-19,14.3186
2019-12-20,14.2323
2019-12-23,14.2307
2019-12-24,14.1935
2019-12-27,14.0455
2019-12-30,14.0672
2019-12-31,14.0442
2020-01-02,14.0709
2020-01-03,14.2838
2020-01-07,14.2968
2020-01-09,14.2069
2020-01-10,14.2531
2020-01-13,14.3761
2020-01-14,14.4196
2020-01-15,14.3796
2020-01-16,14.4354
2020-01-17,14.4564
2020-01-20,14.5282
2020-01-21,14.4758
2020-01-22,14.4075
2020-01-23,14.3813
2020-01-24,14.3711
2020-01-27,14.5516
2020-01-28,14.6523
2020-01-29,14.6095
2020-01-30,14.7496
2020-01-31,14.9204
2020-02-03,14.893
2020-02-04,14.7775
2020-02-05,14.7189
2020-02-06,14.8167
2020-02-07,14.9698
2020-02-10,15.0476
2020-02-11,14.8914
2020-02-12,14.7761
2020-02-13,14.8443
2020-02-14,14.8625
2020-02-17,14.9603
2020-02-18,15.051
2020-02-19,14.9468
2020-02-20,15.1034
2020-02-21,15.088
2020-02-24,15.1222
2020-02-25,15.189
2020-02-26,15.1315
2020-02-27,15.3612
2020-02-28,15.5745
2020-03-02,15.6628
2020-03-03,15.5838
2020-03-04,15.2615
2020-03-05,15.4417
2020-03-06,15.7475
2020-03-09,15.9653
2020-03-10,15.9435
2020-03-11,16.0639
2020-03-12,16.4099
2020-03-13,16.1415
2020-03-16,16.6355
2020-03-17,16.5988
2020-03-18,16.9768
2020-03-19,17.2947
2020-03-20,17.2903
2020-03-23,17.6333
2020-03-24,17.5924
2020-03-25,17.4081
2020-03-26,17.4378
2020-03-27,17.62
2020-03-30,17.8798
2020-03-31,17.8984
2020-04-01,17.9791
2020-04-02,18.5008
2020-04-03,18.7891
2020-04-06,18.8611
2020-04-07,18.359
2020-04-08,18.179
2020-04-09,18.0715
2020-04-14,18.2669
2020-04-15,18.7233
2020-04-16,18.5865
2020-04-17,18.7505
2020-04-20,18.7376
2020-04-21,18.9951
2020-04-22,18.8102
2020-04-23,19.0707
2020-04-24,18.9833
2020-04-27,18.8085
2020-04-28,18.655
2020-04-29,18.4317
2020-04-30,18.0739
2020-05-04,18.6364
2020-05-05,18.3545
2020-05-06,18.562
2020-05-07,18.6126
2020-05-08,18.4423
2020-05-11,18.4405
2020-05-12,18.1785
2020-05-13,18.3163
2020-05-14,18.6842
2020-05-15,18.5923
2020-05-18,18.3635
2020-05-19,18.2328
2020-05-20,18.0236
2020-05-21,17.8706
2020-05-22,17.6519
2020-05-25,17.6725
2020-05-26,17.3713
2020-05-27,17.4213
2020-05-28,17.4275
2020-05-29,17.4424
2020-06-01,17.4517
2020-06-02,17.2503
2020-06-03,17.0488
2020-06-04,16.8941
2020-06-05,16.8423
2020-06-08,16.8187
2020-06-09,16.7288
2020-06-10,16.5605
2020-06-11,16.8639
2020-06-12,17.0554
2020-06-15,17.1705
2020-06-16,17.0249
2020-06-17,17.1197
2020-06-18,17.4063
2020-06-19,17.3452
2020-06-22,17.3974
2020-06-23,17.2044
2020-06-24,17.3106
2020-06-25,17.4003
2020-06-26,17.2834
2020-06-29,17.2157
2020-06-30,17.3625
2020-07-01,17.2263
2020-07-02,16.9194
2020-07-03,17.0849
2020-07-06,17.0208
2020-07-07,17.0866
2020-07-08,16.9793
2020-07-09,16.8128
2020-07-10,16.9288
2020-07-13,16.7469
2020-07-14,16.7676
2020-07-15,16.5205
2020-07-16,16.6621
2020-07-17,16.6692
2020-07-20,16.7199
2020-07-21,16.4997
2020-07-22,16.369
2020-07-23,16.6136
2020-07-24,16.7428
2020-07-27,16.4439
2020-07-28,16.584
2020-07-29,16.4835
2020-07-30,16.7819
2020-07-31,16.9615
2020-08-03,17.2932
2020-08-04,17.4144
2020-08-05,17.2279
2020-08-06,17.5344
2020-08-07,17.5248
2020-08-10,17.7208
2020-08-11,17.5049
2020-08-12,17.4242
2020-08-13,17.4427
2020-08-14,17.4486
2020-08-17,17.4437
2020-08-18,17.3988
2020-08-19,17.1943
2020-08-20,17.227
2020-08-21,17.247
2020-08-24,16.9334
2020-08-25,16.7669
2020-08-26,16.795
2020-08-27,16.9643
2020-08-28,16.6873
2020-08-31,16.716
2020-09-01,16.6396
2020-09-02,16.7907
2020-09-03,16.7661
2020-09-04,16.5747
2020-09-07,16.7163
2020-09-08,16.9733
2020-09-09,16.7369
2020-09-10,16.7607
2020-09-11,16.7477
2020-09-14,16.6618
2020-09-15,16.4538
2020-09-16,16.322
2020-09-17,16.3324
2020-09-18,16.1852
2020-09-21,16.7486
2020-09-22,16.6762
2020-09-23,17.0721
2020-09-24,17.061
2020-09-25,17.105
2020-09-28,17.0441
2020-09-29,16.9787
2020-09-30,16.834
2020-10-01,16.6247
2020-10-02,16.539
2020-10-05,16.4384
2020-10-06,16.4926
2020-10-07,16.6349
2020-10-08,16.5742
2020-10-09,16.4744
